iter	Passed	Remaining
0	0	67
1	1	69
2	2	74
3	3	75
4	4	82
5	5	89
6	6	90
7	7	91
8	8	90
9	10	91
10	11	94
11	12	94
12	13	93
13	15	92
14	16	92
15	17	91
16	18	90
17	19	88
18	20	87
19	21	85
20	22	83
21	23	82
22	24	80
23	24	79
24	25	77
25	27	76
26	27	75
27	28	73
28	29	72
29	30	70
30	31	69
31	31	67
32	32	66
33	33	65
34	34	63
35	35	62
36	35	61
37	36	59
38	37	58
39	38	57
40	38	55
41	39	53
42	39	52
43	40	51
44	41	50
45	41	49
46	42	47
47	43	46
48	43	45
49	44	44
50	44	42
51	45	41
52	45	40
53	46	39
54	47	38
55	47	37
56	48	36
57	48	35
58	49	34
59	49	33
60	50	32
61	50	31
62	51	30
63	51	29
64	52	28
65	52	27
66	53	26
67	53	25
68	54	24
69	55	23
70	55	22
71	56	21
72	56	20
73	57	20
74	57	19
75	58	18
76	58	17
77	59	16
78	59	15
79	60	15
80	60	14
81	61	13
82	61	12
83	62	11
84	62	11
85	63	10
86	63	9
87	64	8
88	65	8
89	65	7
90	66	6
91	66	5
92	67	5
93	67	4
94	68	3
95	68	2
96	69	2
97	69	1
98	70	0
99	70	0
